Group,Relb,Hspa1B,Fos,Junb,Ccl2,Hspa1A,Ptgs2,Birc3,Il6,Ldlr,Plat,Fgfr1,Ccl17,Zfp36,Flt1
1,6.195423071,6.27659493,7.238605029,5.597663197,5.367266856,6.61426573,4.934556973,7.095975324,2.601436892,9.709747203,9.22271404,9.473642156,4.06908053,7.308634287,7.691988414
1,5.892310071,6.84443993,8.231242029,5.361499197,5.021238856,6.80158973,5.098115973,7.069595324,2.680605892,9.878997203,9.40364604,9.457383156,4.21336553,7.465610287,7.358696414
1,6.204379071,6.92323093,8.153438029,5.692832197,4.891703856,6.92318173,5.094341973,6.884418324,2.567348892,9.514177203,9.33244204,9.846036156,4.28422553,7.639055287,7.264873414
0,5.962962071,6.15671293,8.118886029,5.379785197,5.648498856,6.73697073,6.122669973,6.757766324,2.615888892,9.590307203,8.68181904,9.393417156,4.47485853,7.101700287,7.260505414
0,5.579250071,6.06159793,8.773127029,5.526638197,5.395835856,6.57385373,4.480114973,6.744285324,2.511875892,9.677697203,9.66643904,9.812950156,3.92551653,7.464207287,7.003670414
0,5.375577071,6.39644893,8.152820029,5.229080197,5.080200856,6.78863773,5.512872973,6.774518324,2.722407892,9.842597203,9.11088404,9.364116156,4.46902453,6.827350287,6.839222414
0,5.499983571,5.94317093,6.256353029,3.80958303,4.510790856,6.686416564,4.475445473,6.796093157,2.393260725,9.483920537,9.409657373,9.466257489,4.489345197,6.95275962,6.981492747
0,5.709983571,5.96317093,6.956353029,4.59958303,4.910790856,6.326416564,3.975445473,6.806093157,2.753260725,9.613920537,9.169657373,9.446257489,4.489345197,7.02275962,7.211492747
0,5.829983571,5.82317093,6.686353029,4.53958303,4.730790856,6.246416564,4.335445473,6.906093157,2.453260725,9.723920537,8.879657373,9.536257489,4.239345197,7.19275962,7.291492747
1,6.049983571,7.08317093,9.436353029,7.05958303,5.230790856,7.046416564,6.215445473,6.916093157,2.553260725,9.793920537,9.119657373,9.486257489,4.099345197,7.10275962,7.221492747
1,5.939983571,6.74317093,8.906353029,5.28958303,5.300790856,6.946416564,4.745445473,6.866093157,2.423260725,9.813920537,9.389657373,9.576257489,4.189345197,7.31275962,7.261492747
1,6.179983571,7.10317093,10.42635303,7.48958303,6.720790856,7.186416564,7.495445473,7.036093157,3.123260725,9.783920537,9.449657373,9.836257489,3.929345197,8.22275962,7.451492747
0,5.266256791,6.218798272,6.44108469,3.379375518,2.87689806,6.203149937,1.829805301,6.851655771,0.441925788,9.352644968,9.115002187,9.225570615,3.647917927,6.660738116,7.051899068
0,5.59642053,6.055308322,5.761125675,4.013011866,3.059762118,6.293292039,4.637160223,6.611072606,0.441925788,9.474235111,8.956765707,9.620045635,5.098131016,7.009926912,7.088946054
0,5.917606689,5.390600465,6.150923106,4.286266114,3.77944972,6.212677549,3.624985509,6.566195114,1.380525243,9.565771943,9.086696447,9.327472195,5.319081463,7.003688618,7.010446754
0,5.350974404,6.686013036,5.545640621,3.210775914,0.98937279,6.255499176,5.28923692,6.615484521,1.901357406,9.245045969,8.584844377,8.952693055,4.919351216,6.366299558,7.526563926
0,5.897966264,6.377285596,5.129140683,3.368728274,3.408911681,6.408423825,1.649233056,6.496147616,0.944426128,9.534467241,8.802340707,9.486617025,4.732675545,6.846486766,7.091382354
1,5.977822878,6.399344687,8.663477111,4.939371104,6.475336234,6.265568845,5.36439428,6.812802522,4.324568837,9.99159264,9.248608837,9.640185225,2.745614601,6.729060307,7.545345013
1,6.017538109,6.576676894,9.420757391,6.092812577,7.756895176,6.836911736,8.010299545,6.982940955,2.380525243,9.99895961,9.422741387,9.912784865,3.675225273,7.216328967,7.269757335
1,6.200854315,6.87939246,10.78714933,7.540433282,8.019304139,7.683288546,6.719622384,7.186429419,4.104890801,10.25998857,9.558391497,9.690125655,4.41399311,7.46709318,7.344170158
1,6.257571867,7.0910102,10.82049137,7.224865569,8.536652949,7.600849646,7.195613094,7.056984219,5.24928071,9.653827131,9.829514627,9.797074215,3.837112955,8.156390273,7.16917132
1,6.200157193,6.757279373,12.3937403,10.59019008,7.438659025,7.637837666,7.750771082,7.697885496,4.99651464,9.94600552,9.758334627,9.926673075,4.004348869,9.554916833,7.267245491
